# Truth table
# Generated from circuit op3
# Exported on Mon Jan 30 16:38:42 EST 2023

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

A[3..0] B[3..0] | OPout[7..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 0000    0000   |  00000000  
 0000    0001   |  00010001  
 0000    0010   |  00100010  
 0000    0011   |  00110011  
 0000    0100   |  01000100  
 0000    0101   |  01010101  
 0000    0110   |  01100110  
 0000    0111   |  01110111  
 0000    1000   |  10001000  
 0000    1001   |  10011001  
 0000    1010   |  10101010  
 0000    1011   |  10111011  
 0000    1100   |  11001100  
 0000    1101   |  11011101  
 0000    1110   |  11101110  
 0000    1111   |  11111111  
 0001    0000   |  00010001  
 0001    0001   |  00010000  
 0001    0010   |  00110011  
 0001    0011   |  00110010  
 0001    0100   |  01010101  
 0001    0101   |  01010100  
 0001    0110   |  01110111  
 0001    0111   |  01110110  
 0001    1000   |  10011001  
 0001    1001   |  10011000  
 0001    1010   |  10111011  
 0001    1011   |  10111010  
 0001    1100   |  11011101  
 0001    1101   |  11011100  
 0001    1110   |  11111111  
 0001    1111   |  11111110  
 0010    0000   |  00100010  
 0010    0001   |  00110011  
 0010    0010   |  00100000  
 0010    0011   |  00110001  
 0010    0100   |  01100110  
 0010    0101   |  01110111  
 0010    0110   |  01100100  
 0010    0111   |  01110101  
 0010    1000   |  10101010  
 0010    1001   |  10111011  
 0010    1010   |  10101000  
 0010    1011   |  10111001  
 0010    1100   |  11101110  
 0010    1101   |  11111111  
 0010    1110   |  11101100  
 0010    1111   |  11111101  
 0011    0000   |  00110011  
 0011    0001   |  00110010  
 0011    0010   |  00110001  
 0011    0011   |  00110000  
 0011    0100   |  01110111  
 0011    0101   |  01110110  
 0011    0110   |  01110101  
 0011    0111   |  01110100  
 0011    1000   |  10111011  
 0011    1001   |  10111010  
 0011    1010   |  10111001  
 0011    1011   |  10111000  
 0011    1100   |  11111111  
 0011    1101   |  11111110  
 0011    1110   |  11111101  
 0011    1111   |  11111100  
 0100    0000   |  01000100  
 0100    0001   |  01010101  
 0100    0010   |  01100110  
 0100    0011   |  01110111  
 0100    0100   |  01000000  
 0100    0101   |  01010001  
 0100    0110   |  01100010  
 0100    0111   |  01110011  
 0100    1000   |  11001100  
 0100    1001   |  11011101  
 0100    1010   |  11101110  
 0100    1011   |  11111111  
 0100    1100   |  11001000  
 0100    1101   |  11011001  
 0100    1110   |  11101010  
 0100    1111   |  11111011  
 0101    0000   |  01010101  
 0101    0001   |  01010100  
 0101    0010   |  01110111  
 0101    0011   |  01110110  
 0101    0100   |  01010001  
 0101    0101   |  01010000  
 0101    0110   |  01110011  
 0101    0111   |  01110010  
 0101    1000   |  11011101  
 0101    1001   |  11011100  
 0101    1010   |  11111111  
 0101    1011   |  11111110  
 0101    1100   |  11011001  
 0101    1101   |  11011000  
 0101    1110   |  11111011  
 0101    1111   |  11111010  
 0110    0000   |  01100110  
 0110    0001   |  01110111  
 0110    0010   |  01100100  
 0110    0011   |  01110101  
 0110    0100   |  01100010  
 0110    0101   |  01110011  
 0110    0110   |  01100000  
 0110    0111   |  01110001  
 0110    1000   |  11101110  
 0110    1001   |  11111111  
 0110    1010   |  11101100  
 0110    1011   |  11111101  
 0110    1100   |  11101010  
 0110    1101   |  11111011  
 0110    1110   |  11101000  
 0110    1111   |  11111001  
 0111    0000   |  01110111  
 0111    0001   |  01110110  
 0111    0010   |  01110101  
 0111    0011   |  01110100  
 0111    0100   |  01110011  
 0111    0101   |  01110010  
 0111    0110   |  01110001  
 0111    0111   |  01110000  
 0111    1000   |  11111111  
 0111    1001   |  11111110  
 0111    1010   |  11111101  
 0111    1011   |  11111100  
 0111    1100   |  11111011  
 0111    1101   |  11111010  
 0111    1110   |  11111001  
 0111    1111   |  11111000  
 1000    0000   |  10001000  
 1000    0001   |  10011001  
 1000    0010   |  10101010  
 1000    0011   |  10111011  
 1000    0100   |  11001100  
 1000    0101   |  11011101  
 1000    0110   |  11101110  
 1000    0111   |  11111111  
 1000    1000   |  10000000  
 1000    1001   |  10010001  
 1000    1010   |  10100010  
 1000    1011   |  10110011  
 1000    1100   |  11000100  
 1000    1101   |  11010101  
 1000    1110   |  11100110  
 1000    1111   |  11110111  
 1001    0000   |  10011001  
 1001    0001   |  10011000  
 1001    0010   |  10111011  
 1001    0011   |  10111010  
 1001    0100   |  11011101  
 1001    0101   |  11011100  
 1001    0110   |  11111111  
 1001    0111   |  11111110  
 1001    1000   |  10010001  
 1001    1001   |  10010000  
 1001    1010   |  10110011  
 1001    1011   |  10110010  
 1001    1100   |  11010101  
 1001    1101   |  11010100  
 1001    1110   |  11110111  
 1001    1111   |  11110110  
 1010    0000   |  10101010  
 1010    0001   |  10111011  
 1010    0010   |  10101000  
 1010    0011   |  10111001  
 1010    0100   |  11101110  
 1010    0101   |  11111111  
 1010    0110   |  11101100  
 1010    0111   |  11111101  
 1010    1000   |  10100010  
 1010    1001   |  10110011  
 1010    1010   |  10100000  
 1010    1011   |  10110001  
 1010    1100   |  11100110  
 1010    1101   |  11110111  
 1010    1110   |  11100100  
 1010    1111   |  11110101  
 1011    0000   |  10111011  
 1011    0001   |  10111010  
 1011    0010   |  10111001  
 1011    0011   |  10111000  
 1011    0100   |  11111111  
 1011    0101   |  11111110  
 1011    0110   |  11111101  
 1011    0111   |  11111100  
 1011    1000   |  10110011  
 1011    1001   |  10110010  
 1011    1010   |  10110001  
 1011    1011   |  10110000  
 1011    1100   |  11110111  
 1011    1101   |  11110110  
 1011    1110   |  11110101  
 1011    1111   |  11110100  
 1100    0000   |  11001100  
 1100    0001   |  11011101  
 1100    0010   |  11101110  
 1100    0011   |  11111111  
 1100    0100   |  11001000  
 1100    0101   |  11011001  
 1100    0110   |  11101010  
 1100    0111   |  11111011  
 1100    1000   |  11000100  
 1100    1001   |  11010101  
 1100    1010   |  11100110  
 1100    1011   |  11110111  
 1100    1100   |  11000000  
 1100    1101   |  11010001  
 1100    1110   |  11100010  
 1100    1111   |  11110011  
 1101    0000   |  11011101  
 1101    0001   |  11011100  
 1101    0010   |  11111111  
 1101    0011   |  11111110  
 1101    0100   |  11011001  
 1101    0101   |  11011000  
 1101    0110   |  11111011  
 1101    0111   |  11111010  
 1101    1000   |  11010101  
 1101    1001   |  11010100  
 1101    1010   |  11110111  
 1101    1011   |  11110110  
 1101    1100   |  11010001  
 1101    1101   |  11010000  
 1101    1110   |  11110011  
 1101    1111   |  11110010  
 1110    0000   |  11101110  
 1110    0001   |  11111111  
 1110    0010   |  11101100  
 1110    0011   |  11111101  
 1110    0100   |  11101010  
 1110    0101   |  11111011  
 1110    0110   |  11101000  
 1110    0111   |  11111001  
 1110    1000   |  11100110  
 1110    1001   |  11110111  
 1110    1010   |  11100100  
 1110    1011   |  11110101  
 1110    1100   |  11100010  
 1110    1101   |  11110011  
 1110    1110   |  11100000  
 1110    1111   |  11110001  
 1111    0000   |  11111111  
 1111    0001   |  11111110  
 1111    0010   |  11111101  
 1111    0011   |  11111100  
 1111    0100   |  11111011  
 1111    0101   |  11111010  
 1111    0110   |  11111001  
 1111    0111   |  11111000  
 1111    1000   |  11110111  
 1111    1001   |  11110110  
 1111    1010   |  11110101  
 1111    1011   |  11110100  
 1111    1100   |  11110011  
 1111    1101   |  11110010  
 1111    1110   |  11110001  
 1111    1111   |  11110000  
