# Truth table
# Generated from circuit op5
# Exported on Mon Jan 30 17:30:01 EST 2023

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

B[3..0] A[3..0] | OPout[7..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 0000    0000   |  00000000  
 0000    0001   |  00010000  
 0000    0010   |  00100000  
 0000    0011   |  00110000  
 0000    0100   |  01000000  
 0000    0101   |  01010000  
 0000    0110   |  01100000  
 0000    0111   |  01110000  
 0000    1000   |  10000000  
 0000    1001   |  10010000  
 0000    1010   |  10100000  
 0000    1011   |  10110000  
 0000    1100   |  11000000  
 0000    1101   |  11010000  
 0000    1110   |  11100000  
 0000    1111   |  11110000  
 0001    0000   |  00000001  
 0001    0001   |  00010001  
 0001    0010   |  00100001  
 0001    0011   |  00110001  
 0001    0100   |  01000001  
 0001    0101   |  01010001  
 0001    0110   |  01100001  
 0001    0111   |  01110001  
 0001    1000   |  10000001  
 0001    1001   |  10010001  
 0001    1010   |  10100001  
 0001    1011   |  10110001  
 0001    1100   |  11000001  
 0001    1101   |  11010001  
 0001    1110   |  11100001  
 0001    1111   |  11110001  
 0010    0000   |  00000010  
 0010    0001   |  00010010  
 0010    0010   |  00100010  
 0010    0011   |  00110010  
 0010    0100   |  01000010  
 0010    0101   |  01010010  
 0010    0110   |  01100010  
 0010    0111   |  01110010  
 0010    1000   |  10000010  
 0010    1001   |  10010010  
 0010    1010   |  10100010  
 0010    1011   |  10110010  
 0010    1100   |  11000010  
 0010    1101   |  11010010  
 0010    1110   |  11100010  
 0010    1111   |  11110010  
 0011    0000   |  00000011  
 0011    0001   |  00010011  
 0011    0010   |  00100011  
 0011    0011   |  00110011  
 0011    0100   |  01000011  
 0011    0101   |  01010011  
 0011    0110   |  01100011  
 0011    0111   |  01110011  
 0011    1000   |  10000011  
 0011    1001   |  10010011  
 0011    1010   |  10100011  
 0011    1011   |  10110011  
 0011    1100   |  11000011  
 0011    1101   |  11010011  
 0011    1110   |  11100011  
 0011    1111   |  11110011  
 0100    0000   |  00000100  
 0100    0001   |  00010100  
 0100    0010   |  00100100  
 0100    0011   |  00110100  
 0100    0100   |  01000100  
 0100    0101   |  01010100  
 0100    0110   |  01100100  
 0100    0111   |  01110100  
 0100    1000   |  10000100  
 0100    1001   |  10010100  
 0100    1010   |  10100100  
 0100    1011   |  10110100  
 0100    1100   |  11000100  
 0100    1101   |  11010100  
 0100    1110   |  11100100  
 0100    1111   |  11110100  
 0101    0000   |  00000101  
 0101    0001   |  00010101  
 0101    0010   |  00100101  
 0101    0011   |  00110101  
 0101    0100   |  01000101  
 0101    0101   |  01010101  
 0101    0110   |  01100101  
 0101    0111   |  01110101  
 0101    1000   |  10000101  
 0101    1001   |  10010101  
 0101    1010   |  10100101  
 0101    1011   |  10110101  
 0101    1100   |  11000101  
 0101    1101   |  11010101  
 0101    1110   |  11100101  
 0101    1111   |  11110101  
 0110    0000   |  00000110  
 0110    0001   |  00010110  
 0110    0010   |  00100110  
 0110    0011   |  00110110  
 0110    0100   |  01000110  
 0110    0101   |  01010110  
 0110    0110   |  01100110  
 0110    0111   |  01110110  
 0110    1000   |  10000110  
 0110    1001   |  10010110  
 0110    1010   |  10100110  
 0110    1011   |  10110110  
 0110    1100   |  11000110  
 0110    1101   |  11010110  
 0110    1110   |  11100110  
 0110    1111   |  11110110  
 0111    0000   |  00000111  
 0111    0001   |  00010111  
 0111    0010   |  00100111  
 0111    0011   |  00110111  
 0111    0100   |  01000111  
 0111    0101   |  01010111  
 0111    0110   |  01100111  
 0111    0111   |  01110111  
 0111    1000   |  10000111  
 0111    1001   |  10010111  
 0111    1010   |  10100111  
 0111    1011   |  10110111  
 0111    1100   |  11000111  
 0111    1101   |  11010111  
 0111    1110   |  11100111  
 0111    1111   |  11110111  
 1000    0000   |  00001000  
 1000    0001   |  00011000  
 1000    0010   |  00101000  
 1000    0011   |  00111000  
 1000    0100   |  01001000  
 1000    0101   |  01011000  
 1000    0110   |  01101000  
 1000    0111   |  01111000  
 1000    1000   |  10001000  
 1000    1001   |  10011000  
 1000    1010   |  10101000  
 1000    1011   |  10111000  
 1000    1100   |  11001000  
 1000    1101   |  11011000  
 1000    1110   |  11101000  
 1000    1111   |  11111000  
 1001    0000   |  00001001  
 1001    0001   |  00011001  
 1001    0010   |  00101001  
 1001    0011   |  00111001  
 1001    0100   |  01001001  
 1001    0101   |  01011001  
 1001    0110   |  01101001  
 1001    0111   |  01111001  
 1001    1000   |  10001001  
 1001    1001   |  10011001  
 1001    1010   |  10101001  
 1001    1011   |  10111001  
 1001    1100   |  11001001  
 1001    1101   |  11011001  
 1001    1110   |  11101001  
 1001    1111   |  11111001  
 1010    0000   |  00001010  
 1010    0001   |  00011010  
 1010    0010   |  00101010  
 1010    0011   |  00111010  
 1010    0100   |  01001010  
 1010    0101   |  01011010  
 1010    0110   |  01101010  
 1010    0111   |  01111010  
 1010    1000   |  10001010  
 1010    1001   |  10011010  
 1010    1010   |  10101010  
 1010    1011   |  10111010  
 1010    1100   |  11001010  
 1010    1101   |  11011010  
 1010    1110   |  11101010  
 1010    1111   |  11111010  
 1011    0000   |  00001011  
 1011    0001   |  00011011  
 1011    0010   |  00101011  
 1011    0011   |  00111011  
 1011    0100   |  01001011  
 1011    0101   |  01011011  
 1011    0110   |  01101011  
 1011    0111   |  01111011  
 1011    1000   |  10001011  
 1011    1001   |  10011011  
 1011    1010   |  10101011  
 1011    1011   |  10111011  
 1011    1100   |  11001011  
 1011    1101   |  11011011  
 1011    1110   |  11101011  
 1011    1111   |  11111011  
 1100    0000   |  00001100  
 1100    0001   |  00011100  
 1100    0010   |  00101100  
 1100    0011   |  00111100  
 1100    0100   |  01001100  
 1100    0101   |  01011100  
 1100    0110   |  01101100  
 1100    0111   |  01111100  
 1100    1000   |  10001100  
 1100    1001   |  10011100  
 1100    1010   |  10101100  
 1100    1011   |  10111100  
 1100    1100   |  11001100  
 1100    1101   |  11011100  
 1100    1110   |  11101100  
 1100    1111   |  11111100  
 1101    0000   |  00001101  
 1101    0001   |  00011101  
 1101    0010   |  00101101  
 1101    0011   |  00111101  
 1101    0100   |  01001101  
 1101    0101   |  01011101  
 1101    0110   |  01101101  
 1101    0111   |  01111101  
 1101    1000   |  10001101  
 1101    1001   |  10011101  
 1101    1010   |  10101101  
 1101    1011   |  10111101  
 1101    1100   |  11001101  
 1101    1101   |  11011101  
 1101    1110   |  11101101  
 1101    1111   |  11111101  
 1110    0000   |  00001110  
 1110    0001   |  00011110  
 1110    0010   |  00101110  
 1110    0011   |  00111110  
 1110    0100   |  01001110  
 1110    0101   |  01011110  
 1110    0110   |  01101110  
 1110    0111   |  01111110  
 1110    1000   |  10001110  
 1110    1001   |  10011110  
 1110    1010   |  10101110  
 1110    1011   |  10111110  
 1110    1100   |  11001110  
 1110    1101   |  11011110  
 1110    1110   |  11101110  
 1110    1111   |  11111110  
 1111    0000   |  00001111  
 1111    0001   |  00011111  
 1111    0010   |  00101111  
 1111    0011   |  00111111  
 1111    0100   |  01001111  
 1111    0101   |  01011111  
 1111    0110   |  01101111  
 1111    0111   |  01111111  
 1111    1000   |  10001111  
 1111    1001   |  10011111  
 1111    1010   |  10101111  
 1111    1011   |  10111111  
 1111    1100   |  11001111  
 1111    1101   |  11011111  
 1111    1110   |  11101111  
 1111    1111   |  11111111  
