# Truth table
# Generated from circuit op6
# Exported on Mon Feb 06 00:53:42 EST 2023

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

B[3..0] A[3..0] | OPout[7..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 0000    0000   |  00000000  
 0000    0001   |  00000000  
 0000    0010   |  00000000  
 0000    0011   |  00000000  
 0000    0100   |  00000000  
 0000    0101   |  00000000  
 0000    0110   |  00000000  
 0000    0111   |  00000000  
 0000    1000   |  00000000  
 0000    1001   |  00000000  
 0000    1010   |  00000000  
 0000    1011   |  00000000  
 0000    1100   |  00000000  
 0000    1101   |  00000000  
 0000    1110   |  00000000  
 0000    1111   |  00000000  
 0001    0000   |  00000001  
 0001    0001   |  00000000  
 0001    0010   |  00000000  
 0001    0011   |  00000000  
 0001    0100   |  00000000  
 0001    0101   |  00000000  
 0001    0110   |  00000000  
 0001    0111   |  00000000  
 0001    1000   |  00000000  
 0001    1001   |  00000000  
 0001    1010   |  00000000  
 0001    1011   |  00000000  
 0001    1100   |  00000000  
 0001    1101   |  00000000  
 0001    1110   |  00000000  
 0001    1111   |  00000000  
 0010    0000   |  00000010  
 0010    0001   |  00000001  
 0010    0010   |  00000000  
 0010    0011   |  00000000  
 0010    0100   |  00000000  
 0010    0101   |  00000000  
 0010    0110   |  00000000  
 0010    0111   |  00000000  
 0010    1000   |  00000000  
 0010    1001   |  00000000  
 0010    1010   |  00000000  
 0010    1011   |  00000000  
 0010    1100   |  00000000  
 0010    1101   |  00000000  
 0010    1110   |  00000000  
 0010    1111   |  00000000  
 0011    0000   |  00000011  
 0011    0001   |  00000001  
 0011    0010   |  00000000  
 0011    0011   |  00000000  
 0011    0100   |  00000000  
 0011    0101   |  00000000  
 0011    0110   |  00000000  
 0011    0111   |  00000000  
 0011    1000   |  00000000  
 0011    1001   |  00000000  
 0011    1010   |  00000000  
 0011    1011   |  00000000  
 0011    1100   |  00000000  
 0011    1101   |  00000000  
 0011    1110   |  00000000  
 0011    1111   |  00000000  
 0100    0000   |  00000100  
 0100    0001   |  00000010  
 0100    0010   |  00000001  
 0100    0011   |  00000000  
 0100    0100   |  00000000  
 0100    0101   |  00000000  
 0100    0110   |  00000000  
 0100    0111   |  00000000  
 0100    1000   |  00000000  
 0100    1001   |  00000000  
 0100    1010   |  00000000  
 0100    1011   |  00000000  
 0100    1100   |  00000000  
 0100    1101   |  00000000  
 0100    1110   |  00000000  
 0100    1111   |  00000000  
 0101    0000   |  00000101  
 0101    0001   |  00000010  
 0101    0010   |  00000001  
 0101    0011   |  00000000  
 0101    0100   |  00000000  
 0101    0101   |  00000000  
 0101    0110   |  00000000  
 0101    0111   |  00000000  
 0101    1000   |  00000000  
 0101    1001   |  00000000  
 0101    1010   |  00000000  
 0101    1011   |  00000000  
 0101    1100   |  00000000  
 0101    1101   |  00000000  
 0101    1110   |  00000000  
 0101    1111   |  00000000  
 0110    0000   |  00000110  
 0110    0001   |  00000011  
 0110    0010   |  00000001  
 0110    0011   |  00000000  
 0110    0100   |  00000000  
 0110    0101   |  00000000  
 0110    0110   |  00000000  
 0110    0111   |  00000000  
 0110    1000   |  00000000  
 0110    1001   |  00000000  
 0110    1010   |  00000000  
 0110    1011   |  00000000  
 0110    1100   |  00000000  
 0110    1101   |  00000000  
 0110    1110   |  00000000  
 0110    1111   |  00000000  
 0111    0000   |  00000111  
 0111    0001   |  00000011  
 0111    0010   |  00000001  
 0111    0011   |  00000000  
 0111    0100   |  00000000  
 0111    0101   |  00000000  
 0111    0110   |  00000000  
 0111    0111   |  00000000  
 0111    1000   |  00000000  
 0111    1001   |  00000000  
 0111    1010   |  00000000  
 0111    1011   |  00000000  
 0111    1100   |  00000000  
 0111    1101   |  00000000  
 0111    1110   |  00000000  
 0111    1111   |  00000000  
 1000    0000   |  11111000  
 1000    0001   |  11111100  
 1000    0010   |  01111110  
 1000    0011   |  00111111  
 1000    0100   |  00011111  
 1000    0101   |  00001111  
 1000    0110   |  00000111  
 1000    0111   |  00000011  
 1000    1000   |  00000001  
 1000    1001   |  00000000  
 1000    1010   |  00000000  
 1000    1011   |  00000000  
 1000    1100   |  00000000  
 1000    1101   |  00000000  
 1000    1110   |  00000000  
 1000    1111   |  00000000  
 1001    0000   |  11111001  
 1001    0001   |  11111100  
 1001    0010   |  01111110  
 1001    0011   |  00111111  
 1001    0100   |  00011111  
 1001    0101   |  00001111  
 1001    0110   |  00000111  
 1001    0111   |  00000011  
 1001    1000   |  00000001  
 1001    1001   |  00000000  
 1001    1010   |  00000000  
 1001    1011   |  00000000  
 1001    1100   |  00000000  
 1001    1101   |  00000000  
 1001    1110   |  00000000  
 1001    1111   |  00000000  
 1010    0000   |  11111010  
 1010    0001   |  11111101  
 1010    0010   |  01111110  
 1010    0011   |  00111111  
 1010    0100   |  00011111  
 1010    0101   |  00001111  
 1010    0110   |  00000111  
 1010    0111   |  00000011  
 1010    1000   |  00000001  
 1010    1001   |  00000000  
 1010    1010   |  00000000  
 1010    1011   |  00000000  
 1010    1100   |  00000000  
 1010    1101   |  00000000  
 1010    1110   |  00000000  
 1010    1111   |  00000000  
 1011    0000   |  11111011  
 1011    0001   |  11111101  
 1011    0010   |  01111110  
 1011    0011   |  00111111  
 1011    0100   |  00011111  
 1011    0101   |  00001111  
 1011    0110   |  00000111  
 1011    0111   |  00000011  
 1011    1000   |  00000001  
 1011    1001   |  00000000  
 1011    1010   |  00000000  
 1011    1011   |  00000000  
 1011    1100   |  00000000  
 1011    1101   |  00000000  
 1011    1110   |  00000000  
 1011    1111   |  00000000  
 1100    0000   |  11111100  
 1100    0001   |  11111110  
 1100    0010   |  01111111  
 1100    0011   |  00111111  
 1100    0100   |  00011111  
 1100    0101   |  00001111  
 1100    0110   |  00000111  
 1100    0111   |  00000011  
 1100    1000   |  00000001  
 1100    1001   |  00000000  
 1100    1010   |  00000000  
 1100    1011   |  00000000  
 1100    1100   |  00000000  
 1100    1101   |  00000000  
 1100    1110   |  00000000  
 1100    1111   |  00000000  
 1101    0000   |  11111101  
 1101    0001   |  11111110  
 1101    0010   |  01111111  
 1101    0011   |  00111111  
 1101    0100   |  00011111  
 1101    0101   |  00001111  
 1101    0110   |  00000111  
 1101    0111   |  00000011  
 1101    1000   |  00000001  
 1101    1001   |  00000000  
 1101    1010   |  00000000  
 1101    1011   |  00000000  
 1101    1100   |  00000000  
 1101    1101   |  00000000  
 1101    1110   |  00000000  
 1101    1111   |  00000000  
 1110    0000   |  11111110  
 1110    0001   |  11111111  
 1110    0010   |  01111111  
 1110    0011   |  00111111  
 1110    0100   |  00011111  
 1110    0101   |  00001111  
 1110    0110   |  00000111  
 1110    0111   |  00000011  
 1110    1000   |  00000001  
 1110    1001   |  00000000  
 1110    1010   |  00000000  
 1110    1011   |  00000000  
 1110    1100   |  00000000  
 1110    1101   |  00000000  
 1110    1110   |  00000000  
 1110    1111   |  00000000  
 1111    0000   |  11111111  
 1111    0001   |  11111111  
 1111    0010   |  01111111  
 1111    0011   |  00111111  
 1111    0100   |  00011111  
 1111    0101   |  00001111  
 1111    0110   |  00000111  
 1111    0111   |  00000011  
 1111    1000   |  00000001  
 1111    1001   |  00000000  
 1111    1010   |  00000000  
 1111    1011   |  00000000  
 1111    1100   |  00000000  
 1111    1101   |  00000000  
 1111    1110   |  00000000  
 1111    1111   |  00000000  
